"","Creditability","Account.Balance","Duration.of.Credit..month.","Payment.Status.of.Previous.Credit","Purpose","Credit.Amount","Value.Savings.Stocks","Length.of.current.employment","Instalment.per.cent","Sex...Marital.Status","Guarantors","Duration.in.Current.address","Most.valuable.available.asset","Age..years.","Concurrent.Credits","Type.of.apartment","No.of.Credits.at.this.Bank","Occupation","No.of.dependents","Telephone"
"22",1,2,12,4,"3",3124,1,1,1,"2","1",3,1,49,1,"2",2,"1",2,1
"457",1,2,20,3,"3",2629,1,2,2,"2","1",3,3,29,1,"2",2,"2",1,2
"338",1,1,10,4,"3",1038,1,3,4,"2","2",3,2,49,2,"2",2,"2",1,2
"65",1,1,12,3,"3",1344,1,2,4,"2","1",2,1,43,2,"2",2,"1",2,1
"296",1,3,36,2,"1",8133,1,2,1,"1","1",2,2,30,1,"2",1,"2",1,1
"641",1,1,36,4,"2",2348,1,2,3,"3","1",2,2,46,2,"2",2,"2",1,2
"985",0,1,48,2,"2",6999,1,3,1,"3","2",1,1,34,2,"2",2,"2",1,2
"995",0,1,12,0,"2",6199,1,2,4,"2","1",2,2,28,2,"1",2,"2",1,2
"543",0,2,12,2,"2",1922,1,2,4,"2","1",2,2,37,2,"2",1,"1",1,1
"878",0,1,48,2,"2",6758,1,2,3,"1","1",2,3,31,2,"2",1,"2",1,2
"638",1,1,13,4,"3",1797,1,1,3,"2","1",1,2,28,1,"2",2,"1",1,1
"145",1,3,36,2,"2",2394,3,2,4,"1","1",4,3,25,2,"2",1,"2",1,1
"576",1,2,48,0,"3",12204,3,2,2,"2","1",2,3,48,1,"2",1,"3",1,2
"495",1,1,12,4,"1",1409,1,4,4,"2","1",3,1,54,2,"2",1,"2",1,1
"196",1,3,33,4,"1",7253,1,3,3,"2","1",2,3,35,2,"2",2,"3",1,2
"913",0,1,42,3,"2",4370,1,3,3,"2","1",2,2,26,1,"2",2,"2",2,2
"430",1,2,9,2,"3",3195,3,2,1,"1","1",2,1,33,2,"2",1,"1",1,1
"873",0,3,18,2,"2",433,1,1,3,"1","2",4,1,22,2,"1",1,"2",1,1
"651",1,2,24,2,"2",4351,3,2,1,"1","1",4,2,48,2,"2",1,"1",1,2
"966",0,2,48,2,"2",9960,1,1,1,"1","1",2,3,26,1,"2",1,"2",1,2
"155",1,2,12,2,"2",1158,2,2,3,"1","1",1,3,26,2,"2",1,"2",1,2
"524",1,3,18,2,"2",1126,3,1,4,"1","1",2,1,21,2,"1",1,"2",1,2
"367",1,3,24,2,"2",1258,2,2,3,"1","1",3,3,57,2,"2",1,"1",1,1
"596",1,1,36,4,"2",5371,1,2,3,"2","2",2,2,28,2,"2",2,"2",1,1
"304",1,3,9,4,"2",3074,3,2,1,"2","1",2,1,33,2,"2",2,"2",2,1
"829",0,2,12,2,"2",639,1,2,4,"2","1",2,3,30,2,"2",1,"2",1,1
"814",0,1,18,2,"2",3190,1,2,2,"1","1",2,1,24,2,"2",1,"2",1,1
"994",0,1,18,4,"3",3966,1,4,1,"1","1",4,1,33,1,"1",2,"2",1,2
"655",1,2,48,3,"3",6681,3,2,4,"2","1",4,4,38,2,"3",1,"2",2,2
"38",1,3,12,4,"2",1934,1,4,2,"2","1",2,4,26,2,"2",2,"2",1,1
"745",1,3,30,2,"1",4811,3,3,2,"1","1",4,2,24,1,"1",1,"1",1,1
"526",1,3,36,4,"2",9566,1,2,2,"1","1",2,3,31,1,"2",2,"2",1,1
"431",1,3,30,4,"2",4530,1,3,4,"1","1",4,3,26,2,"1",1,"3",1,2
"63",1,3,48,4,"2",3578,3,4,4,"2","1",1,1,47,2,"2",1,"2",1,2
"162",1,3,24,4,"3",1275,3,2,2,"1","1",4,1,36,2,"2",2,"2",1,2
"224",1,3,27,3,"1",8613,3,2,2,"2","1",2,3,27,2,"2",2,"2",1,1
"892",0,1,36,4,"1",9629,1,3,4,"2","1",4,3,24,2,"2",2,"2",1,2
"736",1,3,6,2,"2",1338,2,2,1,"1","1",4,1,62,2,"2",1,"2",1,1
"398",1,3,12,2,"2",707,1,2,4,"2","1",2,1,30,1,"2",2,"2",1,1
"393",1,3,6,4,"3",1047,1,2,2,"1","1",4,2,50,2,"2",1,"1",1,1
"369",1,1,15,2,"3",1403,1,2,2,"1","1",4,3,28,2,"1",1,"2",1,1
"932",0,1,12,2,"3",1274,1,1,3,"1","1",1,1,37,1,"2",1,"1",1,1
"569",1,3,12,4,"2",1935,1,4,4,"2","1",4,1,43,2,"2",2,"2",1,2
"697",1,3,12,3,"3",2247,1,2,2,"1","1",2,3,36,1,"2",2,"2",1,2
"574",1,2,30,1,"2",3496,3,2,4,"2","1",2,3,34,1,"2",1,"2",2,2
"168",1,3,24,4,"3",4526,1,2,3,"2","1",2,1,74,2,"2",1,"3",1,2
"618",1,1,18,2,"3",2249,1,3,4,"2","1",3,3,30,2,"2",1,"3",2,2
"786",0,3,24,2,"2",2397,2,4,3,"2","1",2,3,35,1,"2",2,"2",1,2
"734",1,1,15,2,"3",2511,1,1,1,"1","1",4,3,23,2,"1",1,"2",1,1
"163",1,3,24,2,"2",3972,1,3,2,"1","1",4,2,25,2,"1",1,"2",1,2
"885",0,2,15,2,"3",2631,1,2,2,"1","1",4,3,28,2,"1",2,"2",1,2
"297",1,3,9,2,"2",2301,1,1,2,"1","1",4,2,22,2,"1",1,"2",1,1
"392",1,3,12,4,"3",1480,2,1,2,"2","1",4,4,66,1,"3",2,"1",1,1
"790",0,2,24,4,"2",4736,1,1,2,"1","1",4,3,25,1,"2",1,"1",1,1
"306",1,3,24,2,"3",1469,1,4,4,"3","1",4,1,41,2,"1",1,"1",1,1
"567",1,2,36,3,"3",9857,1,3,1,"2","1",3,2,31,2,"2",2,"1",2,2
"268",1,3,36,2,"3",909,2,4,4,"2","1",4,2,36,2,"2",1,"2",1,1
"396",1,2,9,2,"2",1206,1,4,4,"1","1",4,1,25,2,"2",1,"2",1,1
"421",1,3,12,2,"2",776,1,2,4,"3","1",2,1,28,2,"2",1,"2",1,1
"760",0,2,36,4,"3",2820,1,1,4,"1","1",4,3,27,2,"2",2,"2",1,1
"131",1,3,24,2,"2",1925,1,2,2,"2","1",2,1,26,2,"2",1,"2",1,1
"510",1,1,6,2,"3",1203,1,4,3,"2","1",2,2,43,2,"2",1,"2",1,2
"990",0,2,24,2,"3",2718,1,2,3,"1","1",4,2,20,2,"1",1,"1",1,2
"992",0,2,24,2,"1",12579,1,4,4,"1","1",2,4,44,2,"3",1,"3",1,2
"454",1,2,24,4,"3",5743,1,1,2,"1","1",4,4,24,2,"3",2,"2",1,2
"425",1,3,15,4,"2",1829,1,4,4,"2","1",4,3,46,2,"2",2,"2",1,2
"682",1,2,12,2,"2",1155,1,4,3,"3","2",3,1,40,1,"2",2,"1",1,1
"888",0,1,36,4,"3",8065,1,2,3,"1","1",2,4,25,2,"2",2,"3",1,2
"797",0,3,18,2,"2",2864,1,2,2,"2","1",1,1,34,2,"2",1,"1",2,1
"722",1,3,15,2,"3",1905,1,4,4,"2","1",4,3,40,2,"1",1,"3",1,2
"914",0,1,36,1,"2",2746,1,4,4,"2","1",4,3,31,1,"2",1,"2",1,1
"403",1,1,6,2,"1",1352,2,1,1,"1","1",2,2,23,2,"1",1,"1",1,2
"978",0,1,6,2,"3",14896,1,4,1,"2","1",4,4,68,1,"2",1,"3",1,2
"37",1,3,12,4,"3",1495,1,4,4,"2","1",1,1,38,2,"2",2,"1",2,1
"927",0,1,24,1,"3",3161,1,2,4,"2","1",2,2,31,1,"1",1,"2",1,2
"177",1,3,24,4,"3",4139,1,2,3,"2","1",3,2,27,2,"2",2,"1",1,2
"922",0,1,12,1,"3",697,1,1,4,"2","1",2,3,46,1,"2",2,"2",1,2
"159",0,2,48,1,"3",6416,1,4,4,"1","1",3,4,59,2,"1",1,"2",1,1
"375",1,3,21,3,"2",1591,1,3,4,"2","1",3,1,34,2,"2",2,"3",1,1
"652",1,2,6,2,"2",368,3,4,4,"2","1",4,2,38,2,"2",1,"2",1,1
"483",1,3,24,3,"3",3863,1,2,1,"2","1",2,4,32,2,"3",1,"2",1,1
"33",1,3,36,4,"3",6614,1,4,4,"2","1",4,3,34,2,"2",2,"3",1,2
"787",0,2,6,1,"3",931,1,1,1,"1","1",1,2,32,1,"2",1,"1",1,1
"212",1,1,24,1,"2",2828,2,2,4,"2","1",4,1,22,1,"2",1,"2",1,2
"564",1,3,24,2,"2",1377,1,4,4,"1","1",2,4,47,2,"3",1,"2",1,2
"525",1,2,12,4,"1",1860,1,1,4,"2","1",2,3,34,2,"2",2,"3",1,2
"394",1,3,15,4,"2",1471,1,2,4,"2","1",4,4,35,2,"3",2,"2",1,2
"979",0,2,12,2,"2",2762,3,4,1,"1","1",2,2,25,2,"2",1,"2",1,2
"886",0,2,48,2,"3",6560,1,3,3,"2","1",2,2,24,2,"2",1,"2",1,1
"839",0,3,18,1,"3",6458,1,4,2,"2","1",4,4,39,1,"2",2,"3",2,2
"1000",0,1,30,2,"2",6350,3,4,4,"2","1",4,2,31,2,"2",1,"2",1,1
"472",1,3,24,2,"2",999,3,4,4,"2","1",2,3,25,2,"2",2,"2",1,1
"66",1,3,6,4,"2",1237,1,2,1,"1","1",1,2,27,2,"2",2,"2",1,1
"759",0,2,30,2,"3",2150,1,2,4,"1","2",2,4,24,1,"2",1,"2",1,1
"278",1,2,21,4,"3",3652,1,3,2,"2","1",3,2,27,2,"2",2,"2",1,1
"504",1,3,24,4,"2",2058,1,2,4,"1","1",2,1,33,2,"2",2,"2",1,2
"341",1,3,30,4,"2",3077,3,4,3,"2","1",2,3,40,2,"2",2,"2",2,2
"433",1,2,15,4,"3",2326,2,2,2,"2","1",4,3,27,1,"2",1,"2",1,1
"813",0,3,18,2,"2",1943,1,1,4,"1","1",4,1,23,2,"2",1,"2",1,1
"332",1,3,18,4,"2",2404,1,2,2,"1","1",2,3,26,2,"2",2,"2",1,1
"720",0,2,72,2,"2",5595,1,2,2,"3","1",2,3,24,2,"2",1,"2",1,1
"551",1,2,12,2,"3",2002,1,3,3,"2","1",4,2,30,2,"1",1,"2",2,2
"370",1,1,24,2,"2",3021,1,2,2,"1","1",2,1,24,2,"1",1,"1",1,1
"505",1,3,24,2,"1",7814,1,3,3,"2","1",3,3,38,2,"2",1,"3",1,2
"816",0,3,18,3,"2",1808,1,3,4,"1","1",1,1,22,2,"2",1,"2",1,1
"989",0,1,18,2,"3",976,1,1,1,"1","1",2,3,23,2,"2",1,"1",1,1
"855",0,3,18,2,"2",1533,1,1,4,"3","2",1,2,43,2,"2",1,"1",2,1
"69",1,2,12,2,"2",1567,1,2,1,"1","1",1,3,22,2,"2",1,"2",1,2
"325",1,3,10,2,"3",1546,1,2,3,"2","1",2,1,31,2,"2",1,"1",2,1
"545",1,3,4,4,"2",1544,1,3,2,"2","1",1,1,42,2,"2",2,"1",2,1
"218",1,3,6,2,"3",709,3,1,2,"3","1",2,1,27,2,"2",1,"1",1,1
"800",0,3,24,2,"3",947,1,3,4,"2","1",3,4,38,1,"3",1,"2",2,1
"692",1,1,12,2,"3",1168,1,2,4,"3","1",3,1,27,2,"2",1,"1",1,1
"240",1,3,39,2,"1",2569,2,2,4,"2","1",4,3,24,2,"2",1,"2",1,1
"13",1,1,6,4,"2",1957,1,3,1,"1","1",4,3,31,2,"2",1,"2",1,1
"356",1,3,36,4,"1",10477,3,4,2,"2","1",4,4,42,2,"3",2,"2",1,1
"318",1,3,12,2,"2",3016,1,2,3,"3","1",1,3,24,2,"2",1,"2",1,1
"915",0,1,24,0,"2",4110,1,4,3,"2","1",4,4,23,1,"1",2,"2",2,1
"303",1,3,24,2,"2",3749,1,1,2,"1","1",4,3,26,2,"2",1,"2",1,1
"688",1,2,36,1,"2",3990,3,1,3,"1","1",2,4,29,1,"2",1,"1",1,1
"109",1,3,24,2,"2",1533,1,1,4,"1","1",3,3,38,1,"2",1,"2",1,2
"822",0,1,36,3,"3",6887,1,2,4,"2","1",3,2,29,1,"2",1,"2",1,2
"228",1,3,14,3,"3",802,1,2,4,"2","1",2,3,27,2,"2",2,"1",1,1
"262",1,3,11,4,"3",1393,1,1,4,"1","1",4,3,35,2,"2",2,"3",1,1
"581",0,1,24,1,"2",1546,1,3,4,"2","2",4,3,24,1,"1",1,"1",1,1
"102",1,1,15,2,"3",806,1,2,4,"1","1",4,2,22,2,"2",1,"1",1,1
"923",0,1,24,2,"3",1442,1,3,4,"1","1",4,3,23,2,"1",2,"2",1,1
"94",1,1,9,2,"2",1364,1,3,3,"2","1",4,1,59,2,"2",1,"2",1,1
"755",0,2,6,2,"3",14555,3,1,1,"2","1",2,2,23,2,"2",1,"1",1,2
"801",0,1,24,2,"3",1381,3,2,4,"1","1",2,2,35,2,"2",1,"2",1,1
"8",1,1,6,4,"3",1361,1,1,2,"2","1",4,1,40,2,"2",1,"1",2,1
"616",1,1,12,2,"3",1893,1,2,4,"1","2",4,2,29,2,"2",1,"2",1,2
"219",1,1,47,2,"3",10722,1,1,1,"1","1",1,1,35,2,"2",1,"1",1,2
"957",0,2,21,2,"3",2767,1,4,4,"1","1",2,3,61,2,"1",2,"1",1,1
"371",1,1,24,2,"3",6568,1,2,2,"3","1",2,3,21,1,"2",1,"1",1,1
"550",1,3,12,4,"2",1402,2,3,3,"1","1",4,3,37,2,"1",1,"2",1,2
"656",1,2,18,3,"3",2427,3,4,4,"2","1",2,2,42,2,"2",2,"2",1,1
"763",0,3,21,0,"3",5003,3,2,1,"1","1",4,2,29,1,"2",2,"2",1,2
"270",1,3,15,1,"2",1569,1,4,4,"2","1",4,3,34,1,"2",1,"1",2,1
"124",1,3,15,4,"2",1459,1,2,4,"1","1",2,3,43,2,"2",1,"1",1,1
"884",0,2,15,1,"3",1264,1,2,2,"3","1",2,2,25,2,"1",1,"2",1,1
"276",1,3,12,1,"3",3447,2,2,4,"1","1",3,1,35,2,"2",1,"1",2,1
"90",1,2,24,3,"3",1965,3,2,4,"1","1",4,3,42,2,"1",2,"2",1,2
"88",1,3,36,3,"2",4454,1,2,4,"1","1",4,1,34,2,"2",2,"2",1,1
"943",0,3,12,2,"3",719,1,4,4,"2","1",4,3,41,1,"2",1,"1",2,1
"777",0,2,18,3,"2",4297,1,4,4,"1","1",3,4,40,2,"2",1,"3",1,2
"322",1,3,12,2,"2",2073,1,2,4,"1","2",2,1,28,2,"2",1,"2",1,1
"897",0,3,21,3,"3",2580,2,1,4,"2","1",2,1,41,1,"2",1,"1",2,1
"910",0,1,48,0,"2",7119,1,2,3,"2","1",4,4,53,2,"3",2,"2",2,1
"211",1,3,4,2,"3",1494,3,1,1,"2","1",2,1,29,2,"2",1,"1",2,1
"389",1,3,10,2,"2",1225,1,2,2,"2","1",2,3,37,2,"2",1,"2",1,2
"619",0,1,30,2,"2",3108,1,1,2,"1","1",4,2,31,2,"2",1,"1",1,1
"20",1,3,11,4,"3",7228,1,2,1,"2","1",4,2,39,2,"2",2,"1",1,1
"701",0,1,36,2,"1",8335,3,4,3,"2","1",4,4,47,2,"3",1,"2",1,1
"690",0,1,24,2,"2",1282,1,2,4,"1","1",2,3,32,2,"2",1,"1",1,1
"29",1,3,15,2,"3",3556,3,2,3,"2","1",2,4,29,2,"2",1,"2",1,1
"963",0,2,54,0,"3",15945,1,1,3,"2","1",4,4,58,2,"1",1,"2",1,2
"233",1,3,39,2,"1",8588,1,4,4,"2","1",2,3,45,2,"2",1,"3",1,2
"945",0,1,12,2,"2",709,1,4,4,"2","1",4,1,57,2,"2",1,"1",1,1
"899",0,2,27,2,"3",3915,1,2,4,"2","1",2,3,36,2,"2",1,"2",2,2
"681",1,2,10,1,"2",1048,1,2,4,"2","1",4,1,23,1,"2",1,"1",1,1
"216",1,3,10,2,"3",3949,1,1,1,"2","2",1,2,37,2,"2",1,"1",2,1
"778",0,1,6,4,"2",3384,1,2,1,"1","1",4,1,44,2,"1",1,"3",1,2
"71",1,2,21,4,"2",2745,3,3,3,"2","1",2,3,32,2,"2",2,"2",1,2
"85",1,3,15,4,"2",1520,3,4,4,"2","1",4,2,63,2,"2",1,"2",1,1
"423",1,2,16,4,"3",1175,1,1,2,"2","1",3,3,68,2,"3",2,"1",1,2
"756",0,1,15,0,"3",950,1,4,4,"2","1",3,3,33,2,"1",2,"2",2,1
"486",1,3,12,4,"3",1185,1,2,3,"1","1",2,1,27,2,"2",2,"2",1,1
"563",0,2,60,2,"3",7408,1,1,4,"1","1",2,2,24,2,"2",1,"3",1,1
"750",1,3,24,2,"2",2892,1,4,3,"1","1",4,4,51,2,"3",1,"2",1,1
"840",0,3,12,2,"3",1386,2,2,2,"1","1",2,2,26,2,"2",1,"2",1,1
"89",1,1,6,4,"3",666,3,3,3,"1","1",4,1,39,2,"2",2,"1",1,2
"876",0,2,30,4,"3",4249,1,1,4,"3","1",2,3,28,2,"2",2,"3",1,1
"54",1,3,12,4,"2",2331,3,4,1,"2","2",4,1,49,2,"2",1,"2",1,2
"887",0,1,24,2,"3",3123,1,1,4,"1","1",1,2,27,2,"2",1,"2",1,1
"657",0,2,24,4,"2",1216,1,1,4,"2","1",4,4,38,1,"2",2,"2",2,1
"894",0,1,18,2,"2",1131,1,1,4,"1","1",2,3,33,2,"2",1,"2",1,1
"536",1,2,24,2,"2",1967,1,4,4,"1","1",4,3,20,2,"2",1,"2",1,2
"340",1,3,12,2,"1",1413,3,3,3,"2","1",2,2,55,2,"2",1,"2",1,1
"294",1,2,6,3,"3",1449,1,4,1,"1","1",2,3,31,1,"2",2,"2",2,1
"198",1,3,18,4,"2",1817,1,2,4,"1","1",2,4,28,2,"2",2,"2",1,1
"613",1,1,12,2,"2",1620,1,2,2,"1","2",3,2,30,2,"2",1,"2",1,1
"877",0,2,30,4,"3",5234,1,1,4,"3","1",2,3,28,2,"2",2,"3",1,1
"9",1,3,18,4,"2",1098,1,1,4,"1","1",4,3,65,2,"2",2,"1",1,1
"152",1,3,12,2,"2",2171,1,1,2,"1","1",2,3,29,1,"2",1,"2",1,1
"416",1,3,28,4,"2",2743,1,4,4,"2","1",2,3,29,2,"2",2,"2",1,1
"628",1,3,18,4,"2",1582,3,4,4,"2","1",4,3,46,2,"2",2,"2",1,1
"362",1,1,12,2,"2",1858,1,1,4,"1","1",1,3,22,2,"1",1,"2",1,1
"86",1,1,12,2,"3",3651,3,2,1,"2","1",3,2,31,2,"2",1,"2",2,1
"980",0,1,12,2,"1",3386,1,4,3,"2","1",4,4,35,2,"3",1,"2",1,2
"364",1,3,9,2,"2",1388,1,2,4,"1","1",2,1,26,2,"1",1,"2",1,1
"691",1,3,60,2,"2",10144,1,3,2,"1","1",4,1,21,2,"2",1,"2",1,2
"938",0,2,18,4,"3",884,1,4,4,"2","1",4,3,36,2,"2",1,"2",2,2
"549",1,2,12,2,"3",1007,3,2,4,"3","1",1,1,22,2,"2",1,"2",1,1
"459",1,2,24,3,"2",2333,3,1,4,"2","1",2,2,29,1,"2",1,"1",1,1
"141",1,3,36,2,"2",3835,3,4,2,"1","1",4,1,45,2,"2",1,"1",1,2
"186",1,3,36,2,"3",5742,1,3,2,"2","1",2,3,31,2,"2",2,"2",1,2
"443",1,1,39,4,"2",14179,3,3,4,"2","1",4,2,30,2,"2",2,"3",1,2
"381",1,1,18,2,"2",3650,1,1,1,"1","1",4,3,22,2,"1",1,"2",1,1
"151",1,3,12,1,"2",409,3,2,3,"1","1",3,1,42,2,"1",2,"2",1,1
"511",1,3,6,4,"3",2080,2,2,1,"3","1",2,3,24,2,"2",1,"2",1,1
"206",1,2,18,2,"3",4439,1,4,1,"2","2",1,1,33,1,"2",1,"3",1,2
"165",1,3,15,2,"3",392,1,1,4,"1","1",4,2,23,2,"1",1,"2",1,2
"544",1,2,18,4,"2",1295,1,1,4,"1","1",1,2,27,2,"2",2,"2",1,1
"15",1,1,18,2,"2",1936,3,3,2,"3","1",4,3,23,2,"1",2,"1",1,1
"731",1,2,42,1,"1",9283,1,1,1,"2","1",2,4,55,1,"3",1,"3",1,2
"902",0,1,12,2,"3",2579,1,1,4,"2","1",1,1,33,2,"2",1,"1",2,1
"636",1,1,24,2,"2",3149,1,1,4,"2","1",1,4,22,1,"3",1,"2",1,1
"639",1,1,20,4,"2",4272,1,4,1,"1","1",4,2,24,2,"2",2,"2",1,1
"170",1,3,6,4,"2",1382,1,2,1,"1","1",1,3,28,2,"2",2,"2",1,2
"125",1,3,15,2,"2",1213,2,4,4,"2","1",3,2,47,1,"2",1,"2",1,2
"871",0,1,48,2,"2",3051,1,2,3,"2","1",4,3,54,2,"2",1,"2",1,1
"988",0,1,12,2,"2",674,1,3,4,"3","1",1,2,20,2,"2",1,"2",1,1
"702",1,2,36,4,"1",5800,1,2,3,"2","1",4,3,34,2,"2",2,"2",1,2
"24",1,2,12,4,"2",1424,1,3,4,"2","1",3,2,26,2,"2",1,"2",1,1
"283",1,3,12,2,"1",4675,3,1,1,"1","1",4,3,20,2,"1",1,"2",1,1
"36",1,1,6,4,"3",860,1,4,1,"1","1",4,4,39,2,"2",2,"2",1,2
"171",1,3,36,2,"2",5848,1,2,4,"2","1",1,3,24,2,"2",1,"2",1,1
"633",1,1,24,2,"2",4169,1,2,4,"2","1",4,2,28,2,"2",1,"2",1,1
"60",1,3,36,2,"3",3079,3,2,4,"2","1",4,1,36,2,"2",1,"2",1,1
"977",0,2,48,0,"3",18424,1,2,1,"1","1",2,2,32,1,"2",1,"3",1,2
"53",1,3,9,4,"3",1224,1,2,3,"2","1",1,1,30,2,"2",2,"2",1,1
"351",1,3,10,4,"2",2069,3,2,2,"3","1",1,3,26,2,"2",2,"2",1,1
"794",0,1,12,2,"3",795,1,1,4,"1","1",4,2,53,2,"2",1,"2",1,1
"568",1,3,6,4,"3",362,1,2,4,"1","1",4,3,52,2,"2",2,"1",1,1
"246",1,3,24,2,"1",3488,1,3,3,"1","1",4,3,23,2,"2",1,"2",1,1
"517",1,2,24,3,"3",6967,1,3,4,"2","1",4,3,36,2,"1",1,"3",1,2
"795",0,3,30,3,"3",1908,1,4,4,"2","1",4,1,66,2,"2",1,"3",1,2
"982",0,3,18,3,"3",2169,1,2,4,"3","1",2,3,28,2,"2",1,"2",1,2
"277",1,3,15,2,"2",3568,1,4,4,"1","1",2,3,54,1,"1",1,"3",1,2
"712",1,1,42,4,"2",3394,1,1,4,"2","2",4,3,65,2,"2",2,"1",1,1
"941",0,3,48,4,"3",10127,2,2,2,"2","1",2,4,44,2,"3",1,"2",1,1
"123",1,2,6,2,"2",2063,1,1,4,"3","1",3,3,30,2,"1",1,"3",1,2
"856",0,1,48,2,"3",3931,1,3,4,"2","1",4,4,46,2,"3",1,"2",2,1
"718",0,3,24,2,"3",4591,3,2,2,"2","1",3,2,54,2,"2",2,"3",1,2
"456",1,2,60,3,"2",7418,3,2,1,"2","1",1,1,27,2,"2",1,"1",1,1
"82",1,3,36,4,"2",3342,3,4,4,"2","1",2,3,51,2,"2",1,"2",1,2
"34",1,3,24,2,"2",1376,2,3,4,"1","1",1,3,28,2,"2",1,"2",1,1
"336",1,1,24,2,"2",1747,1,1,4,"2","2",1,2,24,2,"2",1,"1",1,1
"74",1,3,24,2,"2",929,3,3,4,"2","1",2,3,31,1,"2",1,"2",1,2
"796",0,2,36,0,"3",1953,1,4,4,"2","1",4,4,61,2,"3",1,"3",1,2
"640",1,1,24,4,"1",2957,1,4,4,"2","1",4,2,63,2,"2",2,"2",1,2
"258",1,3,10,4,"2",2146,1,1,1,"1","1",3,1,23,2,"1",2,"2",1,1
"287",1,1,6,4,"2",338,2,4,4,"2","1",4,3,52,2,"2",2,"2",1,1
"967",0,3,24,3,"3",8648,1,1,2,"2","1",2,3,27,1,"2",2,"2",1,2
"516",1,2,24,2,"2",2896,1,1,2,"2","1",1,3,29,2,"2",1,"2",1,1
"181",1,3,9,2,"2",1236,1,1,1,"1","1",4,1,23,2,"1",1,"2",1,2
"226",1,3,24,4,"2",1516,3,2,4,"1","1",1,1,43,2,"2",2,"1",1,1
"354",0,1,12,4,"3",3499,1,2,3,"1","2",2,1,29,2,"2",2,"2",1,1
"955",0,3,12,1,"3",609,1,1,4,"1","1",1,1,26,1,"2",1,"1",1,1
"623",1,1,12,4,"1",1526,1,4,4,"2","1",4,4,66,2,"3",2,"3",1,1
"757",0,1,24,4,"3",1199,1,4,4,"2","1",4,3,60,2,"2",2,"1",1,1
"843",0,3,12,2,"2",1123,2,2,4,"1","1",4,3,29,2,"1",1,"1",1,1
"373",1,2,24,4,"1",7758,3,4,2,"1","1",4,4,29,2,"1",1,"2",1,1
"132",1,3,18,2,"2",2515,1,2,3,"2","1",4,1,43,2,"2",1,"2",1,2
"779",0,2,18,4,"2",1245,1,2,4,"3","1",2,3,33,2,"2",1,"2",1,1
"55",1,3,24,2,"1",6313,3,4,3,"2","1",4,3,41,2,"2",1,"3",2,2
"112",1,1,6,2,"2",428,1,4,2,"1","1",1,2,49,1,"2",1,"2",1,2
"146",1,3,21,2,"1",2476,3,4,4,"2","1",4,1,46,2,"2",1,"3",1,2
"783",0,2,36,2,"3",14318,1,4,4,"2","1",2,4,57,2,"3",1,"3",1,2
"321",1,3,10,2,"3",1597,2,2,3,"2","1",2,4,40,2,"1",1,"1",2,1
"237",1,3,21,2,"2",2241,1,4,4,"2","1",2,1,50,2,"2",2,"2",1,1
"631",1,1,15,4,"2",1433,1,2,4,"1","1",3,2,25,2,"1",2,"2",1,1
"205",1,1,21,2,"3",3763,3,3,2,"2","2",2,1,24,2,"2",1,"1",1,1
"617",1,1,30,4,"1",10623,1,4,3,"2","1",4,4,38,2,"3",2,"3",2,2
"154",1,2,24,2,"3",3512,1,3,2,"2","1",3,3,38,1,"2",2,"2",1,2
"113",1,2,12,4,"3",2366,2,3,3,"1","1",3,3,36,2,"2",1,"3",1,2
"513",1,2,24,4,"3",3878,1,1,4,"1","1",2,3,37,2,"2",1,"2",1,2
"126",1,3,24,4,"2",5103,1,1,3,"3","1",3,4,47,2,"3",2,"2",1,2
"974",0,1,45,0,"3",11816,1,4,2,"2","1",4,3,29,2,"1",2,"2",1,1
"269",1,3,12,4,"2",1258,1,1,2,"1","1",4,2,22,2,"1",2,"1",1,1
"81",1,3,24,4,"3",2022,1,2,4,"1","1",4,3,37,2,"2",1,"2",1,2
"732",1,3,60,2,"3",6527,3,2,4,"2","1",4,4,34,2,"3",1,"2",2,2
"600",0,1,36,2,"2",5179,1,3,4,"2","1",2,2,29,2,"2",1,"2",1,1
"365",1,3,12,2,"2",2279,3,2,4,"2","1",4,4,37,2,"3",1,"2",1,2
"753",0,2,9,4,"3",1136,3,4,4,"2","1",3,4,32,2,"3",2,"2",2,1
"328",1,3,6,4,"3",1343,1,4,1,"2","1",4,1,46,2,"2",2,"2",2,1
"519",0,3,24,2,"2",5943,3,1,1,"1","1",1,3,44,2,"2",2,"2",1,2
"523",1,3,6,2,"2",518,1,2,3,"1","1",1,1,29,2,"2",1,"2",1,1
"680",1,2,6,2,"2",484,1,3,3,"3","2",3,1,28,1,"2",1,"1",1,1
"229",1,3,21,2,"3",1572,3,4,4,"1","1",4,1,36,1,"2",1,"1",1,1
"361",1,3,12,4,"3",1255,1,4,4,"2","1",4,1,61,2,"2",2,"1",1,1
"150",1,2,24,4,"2",1743,1,4,4,"2","1",2,2,48,2,"2",2,"1",1,1
"669",1,2,18,2,"2",866,1,2,4,"3","2",2,1,25,2,"2",1,"1",1,1
"234",1,1,30,2,"1",3857,1,2,4,"1","1",4,2,40,2,"2",1,"3",1,2
"378",1,2,27,3,"1",5965,1,4,1,"2","1",2,3,30,2,"2",2,"3",1,2
"316",1,3,15,2,"1",1300,3,4,4,"2","1",4,4,45,1,"3",1,"2",2,1
"673",1,2,18,2,"2",1113,1,2,4,"1","2",4,1,26,2,"2",1,"1",2,1
